公牛ID (Bull_ID),母牛ID (Cow_ID),后代近交系数 (Inbreeding_Coefficient)
HO840M3269404443,220057,0
HO840M3269404786,220057,0
HO840M3275375277,220057,0
HO840M3250025924,220057,0
HO840M3252198074,220057,0.01171875
HO840M3269404443,213009,0
HO840M3269404786,213009,0
HO840M3275375277,213009,0
HO840M3250025924,213009,0
HO840M3252198074,213009,0
HO840M3269404443,213050,0
HO840M3269404786,213050,0
HO840M3275375277,213050,0
HO840M3250025924,213050,0
HO840M3252198074,213050,0
HO840M3269404443,213105,0
HO840M3269404786,213105,0
HO840M3275375277,213105,0
HO840M3250025924,213105,0
HO840M3252198074,213105,0
HO840M3269404443,213341,0
HO840M3269404786,213341,0
HO840M3275375277,213341,0
HO840M3250025924,213341,0
HO840M3252198074,213341,0
HO840M3269404443,213351,0
HO840M3269404786,213351,0
HO840M3275375277,213351,0
HO840M3250025924,213351,0
HO840M3252198074,213351,0
HO840M3269404443,213356,0
HO840M3269404786,213356,0
HO840M3275375277,213356,0
HO840M3250025924,213356,0
HO840M3252198074,213356,0
HO840M3269404443,213361,0
HO840M3269404786,213361,0
HO840M3275375277,213361,0
HO840M3250025924,213361,0
HO840M3252198074,213361,0
HO840M3269404443,213375,0
HO840M3269404786,213375,0
HO840M3275375277,213375,0
HO840M3250025924,213375,0
HO840M3252198074,213375,0
HO840M3269404443,213378,0
HO840M3269404786,213378,0
HO840M3275375277,213378,0
HO840M3250025924,213378,0
HO840M3252198074,213378,0
HO840M3269404443,213402,0
HO840M3269404786,213402,0.0234375
HO840M3275375277,213402,0
HO840M3250025924,213402,0
HO840M3252198074,213402,0
HO840M3269404443,213403,0
HO840M3269404786,213403,0
HO840M3275375277,213403,0
HO840M3250025924,213403,0
HO840M3252198074,213403,0
HO840M3269404443,213431,0
HO840M3269404786,213431,0
HO840M3275375277,213431,0
HO840M3250025924,213431,0
HO840M3252198074,213431,0
HO840M3269404443,213436,0
HO840M3269404786,213436,0
HO840M3275375277,213436,0
HO840M3250025924,213436,0
HO840M3252198074,213436,0
HO840M3269404443,213567,0
HO840M3269404786,213567,0
HO840M3275375277,213567,0
HO840M3250025924,213567,0
HO840M3252198074,213567,0
HO840M3269404443,220057,0
HO840M3269404786,220057,0
HO840M3275375277,220057,0
HO840M3250025924,220057,0
HO840M3252198074,220057,0.01171875
HO840M3269404443,220200,0
HO840M3269404786,220200,0
HO840M3275375277,220200,0
HO840M3250025924,220200,0.0234375
HO840M3252198074,220200,0
HO840M3269404443,220208,0
HO840M3269404786,220208,0
HO840M3275375277,220208,0
HO840M3250025924,220208,0.0234375
HO840M3252198074,220208,0
HO840M3269404443,220218,0
HO840M3269404786,220218,0
HO840M3275375277,220218,0
HO840M3250025924,220218,0.0234375
HO840M3252198074,220218,0
HO840M3269404443,220229,0
HO840M3269404786,220229,0
HO840M3275375277,220229,0
HO840M3250025924,220229,0.0234375
HO840M3252198074,220229,0
HO840M3269404443,220232,0
HO840M3269404786,220232,0
HO840M3275375277,220232,0
HO840M3250025924,220232,0
HO840M3252198074,220232,0
HO840M3269404443,220236,0
HO840M3269404786,220236,0
HO840M3275375277,220236,0
HO840M3250025924,220236,0.0234375
HO840M3252198074,220236,0
HO840M3269404443,220245,0
HO840M3269404786,220245,0
HO840M3275375277,220245,0
HO840M3250025924,220245,0.0234375
HO840M3252198074,220245,0
HO840M3269404443,220250,0
HO840M3269404786,220250,0
HO840M3275375277,220250,0
HO840M3250025924,220250,0.0234375
HO840M3252198074,220250,0
HO840M3269404443,220251,0
HO840M3269404786,220251,0
HO840M3275375277,220251,0
HO840M3250025924,220251,0.0234375
HO840M3252198074,220251,0
HO840M3269404443,220259,0
HO840M3269404786,220259,0.0234375
HO840M3275375277,220259,0
HO840M3250025924,220259,0.0234375
HO840M3252198074,220259,0
HO840M3269404443,220267,0
HO840M3269404786,220267,0
HO840M3275375277,220267,0
HO840M3250025924,220267,0.0234375
HO840M3252198074,220267,0
HO840M3269404443,220281,0
HO840M3269404786,220281,0
HO840M3275375277,220281,0
HO840M3250025924,220281,0
HO840M3252198074,220281,0
HO840M3269404443,220284,0
HO840M3269404786,220284,0
